形态,stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
品字形,002527.SZ,2026-03-05,2026-03-09,-0.5583449684761191,14.98,15.14,14.98,新时达,上海,电器仪表,主板,L,2010-12-24 00:00:00,S,集体企业,https://stockpage.10jqka.com.cn/002527/
品字形,300333.SZ,2026-03-05,2026-03-09,-0.5590148351823939,10.13,10.25,10.14,兆日科技,深圳,IT设备,创业板,L,2012-06-28 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300333/
品字形,000630.SZ,2025-12-30,2026-01-05,-0.5598179223989665,5.8,6.01,5.82,铜陵有色,安徽,铜,主板,L,1996-11-20 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000630/
品字形,300906.SZ,2025-12-22,2025-12-24,-0.5606112640209614,38.17,39.0,38.23,日月明,江西,运输设备,创业板,L,2020-11-05 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300906/
品字形,920017.BJ,2026-03-05,2026-03-09,-0.5610096628404191,18.15,18.39,18.13,星昊医药,北京,化学制药,北交所,L,2023-05-31 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/920017/
品字形,301320.SZ,2026-01-21,2026-01-23,-0.5615568994187033,18.5,18.75,18.5,豪江智能,山东,电气设备,创业板,L,2023-06-09 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301320/
品字形,600792.SH,2026-02-04,2026-02-06,-0.5620480576908311,4.64,4.83,4.66,云煤能源,云南,焦炭加工,主板,L,1997-01-23 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600792/
品字形,300197.SZ,2026-03-05,2026-03-09,-0.5622174222429258,1.87,1.89,1.87,节能铁汉,深圳,环境保护,创业板,L,2011-03-29 00:00:00,S,中央企业,https://stockpage.10jqka.com.cn/300197/
品字形,603721.SH,2026-02-26,2026-03-02,-0.5643204341483765,21.91,22.22,21.94,*ST天择,湖南,影视音像,主板,L,2017-08-11 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/603721/
品字形,002524.SZ,2026-01-26,2026-01-28,-0.5665041076626783,5.05,5.56,5.08,光正眼科,新疆,医疗保健,主板,L,2010-12-17 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002524/
品字形,603297.SH,2026-02-26,2026-03-02,-0.5679158084071014,126.1,128.95,126.36,永新光学,浙江,元器件,主板,L,2018-09-10 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603297/
品字形,603203.SH,2026-03-05,2026-03-09,-0.5680886553743232,39.91,40.55,39.9,快克智能,江苏,专用机械,主板,L,2016-11-08 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603203/
品字形,301315.SZ,2026-02-04,2026-02-06,-0.5683392802235807,60.98,62.2,61.06,威士顿,上海,软件服务,创业板,L,2023-06-21 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301315/
品字形,600678.SH,2026-01-06,2026-01-08,-0.5702291866701704,14.48,14.68,14.48,四川金顶,四川,水泥,主板,L,1993-10-08 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600678/
品字形,301022.SZ,2026-03-05,2026-03-09,-0.5708014110897673,31.62,31.96,31.62,海泰科,山东,专用机械,创业板,L,2021-07-02 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301022/
品字形,600481.SH,2026-01-28,2026-01-30,-0.5712145562509142,8.89,9.26,8.89,双良节能,江苏,电气设备,主板,L,2003-04-22 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/600481/
品字形,000551.SZ,2026-03-05,2026-03-09,-0.5737526311170806,14.37,14.57,14.38,创元科技,江苏,专用机械,主板,L,1994-01-06 00:00:00,S,地方国有企业,https://stockpage.10jqka.com.cn/000551/
品字形,600236.SH,2026-03-04,2026-03-06,-0.5740948885027698,10.85,11.62,10.95,桂冠电力,广西,水力发电,主板,L,2000-03-23 00:00:00,H,中央企业,https://stockpage.10jqka.com.cn/600236/
品字形,002419.SZ,2025-12-18,2025-12-22,-0.5744441070810352,5.92,6.0,5.92,天虹股份,深圳,百货,主板,L,2010-06-01 00:00:00,S,中央企业,https://stockpage.10jqka.com.cn/002419/
品字形,600229.SH,2026-01-22,2026-01-26,-0.5750938145371292,6.69,6.75,6.68,城市传媒,山东,出版业,主板,L,2000-03-09 00:00:00,H,地方国有企业,https://stockpage.10jqka.com.cn/600229/
品字形,002207.SZ,2026-01-13,2026-01-15,-0.5755246333797428,9.02,9.28,9.02,准油股份,新疆,石油开采,主板,L,2008-01-28 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/002207/
品字形,601702.SH,2026-01-28,2026-01-30,-0.5759863011363171,26.07,27.83,26.34,华峰铝业,上海,铝,主板,L,2020-09-07 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/601702/
品字形,300486.SZ,2025-12-15,2025-12-31,-0.5765738538600579,19.7,21.59,19.61,东杰智能,山西,专用机械,创业板,L,2015-06-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300486/
品字形,301297.SZ,2026-03-05,2026-03-09,-0.5767698776570968,35.99,36.42,35.94,富乐德,安徽,半导体,创业板,L,2022-12-30 00:00:00,S,其他,https://stockpage.10jqka.com.cn/301297/
品字形,920092.BJ,2025-12-16,2025-12-18,-0.5774664403501709,39.75,41.27,39.54,汉鑫科技,山东,软件服务,北交所,L,2021-11-15 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/920092/
品字形,300078.SZ,2025-12-30,2026-01-05,-0.5777620098434969,4.24,4.43,4.22,思创智联,浙江,软件服务,创业板,L,2010-04-30 00:00:00,N,其他,https://stockpage.10jqka.com.cn/300078/
品字形,688101.SH,2026-01-15,2026-01-19,-0.5778927155923603,17.89,18.2,17.93,三达膜,陕西,环境保护,科创板,L,2019-11-15 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688101/
品字形,002350.SZ,2026-03-10,2026-03-12,-0.5781106505060872,15.22,15.54,15.2,北京科锐,北京,电气设备,主板,L,2010-02-03 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/002350/
品字形,605358.SH,2026-02-25,2026-02-27,-0.5787448409653094,41.72,42.29,41.81,立昂微,浙江,半导体,主板,L,2020-09-11 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/605358/
品字形,300818.SZ,2026-01-14,2026-01-16,-0.5790144343267176,39.07,39.7,39.01,耐普矿机,江西,专用机械,创业板,L,2020-02-12 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300818/
品字形,688653.SH,2026-03-05,2026-03-09,-0.5793881352804464,13.59,13.83,13.6,康希通信,上海,半导体,科创板,L,2023-11-17 00:00:00,H,自然人,https://stockpage.10jqka.com.cn/688653/
